cp,artist,song,section,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cp_length,genres,text_2,type,key_labels
"6,5,4,5,1",tim mcgraw,live like you were dying,chorus,0.416,0.546,7.0,-7.728,1.0,0.0297,0.492,0.0,0.0845,0.418,159.929,300333.0,4.0,5,"['contemporary country', 'country', 'country road']","He said
I went Rocky Mountain climbing
I went 2.7 seconds on a bull named Fumanchu
And I loved deeper
And I spoke sweeter
And I gave forgiveness I'd been denying""
And he said
""Someday I hope you get the chance
To live like you were dying""
To live like you were dying",contemporary country,$G$
"5,4,5,1,4",tim mcgraw,live like you were dying,chorus,0.416,0.546,7.0,-7.728,1.0,0.0297,0.492,0.0,0.0845,0.418,159.929,300333.0,4.0,5,"['contemporary country', 'country', 'country road']","He said
I went Rocky Mountain climbing
I went 2.7 seconds on a bull named Fumanchu
And I loved deeper
And I spoke sweeter
And I gave forgiveness I'd been denying""
And he said
""Someday I hope you get the chance
To live like you were dying""
To live like you were dying",contemporary country,$G$
"1,6,4,5",justin bieber,baby,verse,0.6559999999999999,0.841,5.0,-5.183,0.0,0.2319999999999999,0.0544,0.0,0.122,0.522,65.024,214240.0,4.0,4,"['canadian pop', 'dance pop', 'pop', 'post-teen pop']","Ooh whoa, ooh whoa, ooh whoa
You know you love me, you know you care
Just shout whenever and I'll be there
You are my love, you are my heart
And we will never, ever, ever be apart
Are we an item? Girl quit playin'
We're just friends, what are you sayin'
Said there's another, look right in my eyes
My first love, broke my heart for the first time
And I was like baby, baby, baby oh
Oh for you, I would have done whatever
And I just can't believe we ain't together
And I wanna play it cool
But I'm losin' you
I'll buy you anything
I'll buy you any ring
And I'm in pieces, baby fix me
And just shake me, til you wake me from this bad dream
I'm goin' down, down, down, down
And I can't believe my first love won't be around
And I'm like baby, baby, baby oh
Luda, when I was thirteen, I had my first love
There was nobody that compared to my baby
And nobody came between us no one could ever come above
She had me goin' crazy
Oh I was starstruck
She woke me up daily
Don't need no Starbucks
She made my heart pound
And skip a beat when I see her in the street and
At school on the playground
But I really wanna see her on the weekend
She know she got me dazin'
'Cause she was so amazin'
And now my heart is breakin'
But I just keep on sayin'
Now I'm all gone
Gone, gone, gone I'm gone gone",canadian pop,$F$
"1,6,4,5",avril lavigne,complicated,verse,0.585,0.7759999999999999,5.0,-5.898,1.0,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,244507.0,4.0,4,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']","Uh huh, life's like this
Uh huh, uh huh, that's the way it is
'Cause life's like this
Uh huh, uh huh that's the way it is
I like you the way you are
When we're drivin' in your car
And you're talking to me one on one
But you've become
You come over unannounced
Dressed up like you're somethin' else
Where you are ain't where it's at you see, you're making me
Laugh out when you strike your pose
Take off all your preppy clothes
You know, you're not fooling anyone
When you've become
You're watchin' your back like you can't relax
No, no, no (No)(No)
You're trying to be cool,
No, no
Why do you have to go and make things so complicated? (Yeah, yeah)",canadian pop,$F$
"1,5,6,4,1",avril lavigne,complicated,chorus,0.585,0.7759999999999999,5.0,-5.898,1.0,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,244507.0,4.0,5,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']","Chill out, what you yellin' for?
Lay back, it's all been done before
And if you could only let it be
You will see
Somebody else 'round everyone else
You're watching your back like you can't relax
You're tryin' to be cool
You look like a fool to me
Tell me
Why do you have to go and make things so complicated?
I see the way you're
Acting like you're somebody else, gets me frustrated
And life's like this you,
You fall and you crawl and you break and you take what you get and you turn it
into
Honesty, you promised me I'm never gonna find you fake it
No, no, no
Honesty, you promised me, I'm never gonna find you fake it
No, no, no (No)",canadian pop,$F$
"1,5,2,4,1",avril lavigne,complicated,chorus,0.585,0.7759999999999999,5.0,-5.898,1.0,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,244507.0,4.0,5,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']","Chill out, what you yellin' for?
Lay back, it's all been done before
And if you could only let it be
You will see
Somebody else 'round everyone else
You're watching your back like you can't relax
You're tryin' to be cool
You look like a fool to me
Tell me
Why do you have to go and make things so complicated?
I see the way you're
Acting like you're somebody else, gets me frustrated
And life's like this you,
You fall and you crawl and you break and you take what you get and you turn it
into
Honesty, you promised me I'm never gonna find you fake it
No, no, no
Honesty, you promised me, I'm never gonna find you fake it
No, no, no (No)",canadian pop,$F$
"4,1,5,6,4",avril lavigne,complicated,chorus,0.585,0.7759999999999999,5.0,-5.898,1.0,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,244507.0,4.0,5,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']","Chill out, what you yellin' for?
Lay back, it's all been done before
And if you could only let it be
You will see
Somebody else 'round everyone else
You're watching your back like you can't relax
You're tryin' to be cool
You look like a fool to me
Tell me
Why do you have to go and make things so complicated?
I see the way you're
Acting like you're somebody else, gets me frustrated
And life's like this you,
You fall and you crawl and you break and you take what you get and you turn it
into
Honesty, you promised me I'm never gonna find you fake it
No, no, no
Honesty, you promised me, I'm never gonna find you fake it
No, no, no (No)",canadian pop,$F$
"4,1,5,2,4",avril lavigne,complicated,chorus,0.585,0.7759999999999999,5.0,-5.898,1.0,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,244507.0,4.0,5,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']","Chill out, what you yellin' for?
Lay back, it's all been done before
And if you could only let it be
You will see
Somebody else 'round everyone else
You're watching your back like you can't relax
You're tryin' to be cool
You look like a fool to me
Tell me
Why do you have to go and make things so complicated?
I see the way you're
Acting like you're somebody else, gets me frustrated
And life's like this you,
You fall and you crawl and you break and you take what you get and you turn it
into
Honesty, you promised me I'm never gonna find you fake it
No, no, no
Honesty, you promised me, I'm never gonna find you fake it
No, no, no (No)",canadian pop,$F$
"6,4,1,5,6",avril lavigne,complicated,chorus,0.585,0.7759999999999999,5.0,-5.898,1.0,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,244507.0,4.0,5,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']","Chill out, what you yellin' for?
Lay back, it's all been done before
And if you could only let it be
You will see
Somebody else 'round everyone else
You're watching your back like you can't relax
You're tryin' to be cool
You look like a fool to me
Tell me
Why do you have to go and make things so complicated?
I see the way you're
Acting like you're somebody else, gets me frustrated
And life's like this you,
You fall and you crawl and you break and you take what you get and you turn it
into
Honesty, you promised me I'm never gonna find you fake it
No, no, no
Honesty, you promised me, I'm never gonna find you fake it
No, no, no (No)",canadian pop,$F$
"5,6,4,1,5",avril lavigne,complicated,chorus,0.585,0.7759999999999999,5.0,-5.898,1.0,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,244507.0,4.0,5,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']","Chill out, what you yellin' for?
Lay back, it's all been done before
And if you could only let it be
You will see
Somebody else 'round everyone else
You're watching your back like you can't relax
You're tryin' to be cool
You look like a fool to me
Tell me
Why do you have to go and make things so complicated?
I see the way you're
Acting like you're somebody else, gets me frustrated
And life's like this you,
You fall and you crawl and you break and you take what you get and you turn it
into
Honesty, you promised me I'm never gonna find you fake it
No, no, no
Honesty, you promised me, I'm never gonna find you fake it
No, no, no (No)",canadian pop,$F$
"1,6,4,5",elton john,crocodile rock,bridge,0.626,0.8029999999999999,4.0,-7.213999999999999,0.0,0.0358,0.0326,1.35e-05,0.0596,0.968,149.918,235440.0,4.0,4,"['glam rock', 'mellow gold', 'piano rock', 'rock', 'soft rock']","I remember when rock was young
Me and Suzie had so much fun
Holding hands and skimming stones
Had an old gold Chevy and a place of my own
But the biggest kick I ever got
Was doing a thing called the Crocodile Rock
While the other kids were Rocking Round the Clock
We were hopping and bopping to the Crocodile Rock
Well Crocodile Rocking is something shocking
When your feet just can't keep still
I never knew me a better time and I guess I never will
Oh Lawdy mama those Friday nights
When Suzie wore her dresses tight
And the Crocodile Rocking was out of sight
La lalalala la lalalala la lalalala la",glam rock,$E$
"1,6,4,5",enrique iglesias,hero,intro,0.5670000000000001,0.65,7.0,-5.478,1.0,0.0447,0.135,1.94e-05,0.11,0.154,76.036,264600.0,4.0,4,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'tropical']","Would you dance if I asked you to dance?
Or would you run and never look back?
Would you cry if you saw me crying?
And would you save my soul tonight?
Would you tremble if I touched your lips?
Or would you laugh? Oh, please tell me this.
Now would you die for the one you love?
Oh hold me in your arms tonight.
Would you swear that you'll always be mine
Or would you lie? Would you run and hide?
Am I in too deep? Have I lost my mind?
I don't care. You're here tonight",dance pop,$G$
"1,6,4,5",britney spears,lucky,bridge,0.765,0.7909999999999999,8.0,-5.707000000000001,1.0,0.0317,0.262,0.000154,0.0669,0.966,95.026,206227.0,4.0,4,"['dance pop', 'pop', 'post-teen pop']",[Chorus],dance pop,$G♯/A♭$
"1,6,4,5",britney spears,lucky,pre-chorus,0.765,0.7909999999999999,8.0,-5.707000000000001,1.0,0.0317,0.262,0.000154,0.0669,0.966,95.026,206227.0,4.0,4,"['dance pop', 'pop', 'post-teen pop']",[Chorus],dance pop,$G♯/A♭$
"1,6,4,5,1",britney spears,lucky,chorus,0.765,0.7909999999999999,8.0,-5.707000000000001,1.0,0.0317,0.262,0.000154,0.0669,0.966,95.026,206227.0,4.0,5,"['dance pop', 'pop', 'post-teen pop']",[Chorus],dance pop,$G♯/A♭$
"4,5,1,6,4",britney spears,lucky,chorus,0.765,0.7909999999999999,8.0,-5.707000000000001,1.0,0.0317,0.262,0.000154,0.0669,0.966,95.026,206227.0,4.0,5,"['dance pop', 'pop', 'post-teen pop']",[Chorus],dance pop,$G♯/A♭$
"6,4,5,1,6",britney spears,lucky,chorus,0.765,0.7909999999999999,8.0,-5.707000000000001,1.0,0.0317,0.262,0.000154,0.0669,0.966,95.026,206227.0,4.0,5,"['dance pop', 'pop', 'post-teen pop']",[Chorus],dance pop,$G♯/A♭$
"5,1,6,4,5",britney spears,lucky,chorus,0.765,0.7909999999999999,8.0,-5.707000000000001,1.0,0.0317,0.262,0.000154,0.0669,0.966,95.026,206227.0,4.0,5,"['dance pop', 'pop', 'post-teen pop']",[Chorus],dance pop,$G♯/A♭$
"1,6,4,1",bruno mars,just the way you are,verse,0.637,0.843,5.0,-5.412999999999999,1.0,0.0432,0.0151,0.0,0.0876,0.434,109.012,220733.0,4.0,4,"['pop', 'post-teen pop']","Oh her eyes, her eyes
Make the stars look like they're not shining
Her hair, her hair
Falls perfectly without her trying
And I tell her every day
Yeah,
I know, I know
When I compliment her
She wont believe me
It's so, it's so
Sad to think she don't see what I see
But every time she asks me do I look okay
I say
Yeah
Her lips, her lips
I could kiss them all day if she'd let me
Her laugh, her laugh
She hates but I think it's so sexy
And I tell her everyday
Oh you know, you know, you know
I'd never ask you to change
If perfect's what you're searching for
Then just stay the same
So don't even bother asking if you look okay
You know I'll say!
Girl you're amazing (amazing)
Just the way you are (are)
And when you smile
'Cause girl you're amazing
Just the way you are, yeah",pop,$F$
"1,6,4,1,6",bruno mars,just the way you are,chorus,0.637,0.843,5.0,-5.412999999999999,1.0,0.0432,0.0151,0.0,0.0876,0.434,109.012,220733.0,4.0,5,"['pop', 'post-teen pop']","She's so beautiful
When I see your face (face)
There's not a thing that I would change
'Cause girl you're amazing (amazing)
Just the way you are
And when you smile (smile)
The whole world stops and stares for awhile
The way you are",pop,$F$
"4,1,6,4,1",bruno mars,just the way you are,chorus,0.637,0.843,5.0,-5.412999999999999,1.0,0.0432,0.0151,0.0,0.0876,0.434,109.012,220733.0,4.0,5,"['pop', 'post-teen pop']","She's so beautiful
When I see your face (face)
There's not a thing that I would change
'Cause girl you're amazing (amazing)
Just the way you are
And when you smile (smile)
The whole world stops and stares for awhile
The way you are",pop,$F$
"6,4,1,6,4",bruno mars,just the way you are,chorus,0.637,0.843,5.0,-5.412999999999999,1.0,0.0432,0.0151,0.0,0.0876,0.434,109.012,220733.0,4.0,5,"['pop', 'post-teen pop']","She's so beautiful
When I see your face (face)
There's not a thing that I would change
'Cause girl you're amazing (amazing)
Just the way you are
And when you smile (smile)
The whole world stops and stares for awhile
The way you are",pop,$F$
"1,6,5,4",ed sheeran,photograph,verse,0.614,0.379,4.0,-10.48,1.0,0.0476,0.607,0.0004639999999999,0.0986,0.201,107.989,258987.0,4.0,4,['pop'],"[Verse 1]
Loving can hurt, loving can hurt sometimes.
But it's the only thing that I know.
When it gets hard, you know it can get hard sometimes,
It is the only thing that makes us feel alive.
Our hearts are never broken,
You won't ever be alone, wait for me to come home.
[Verse 2]
Loving can heal, loving can mend your soul,
And it's the only thing that I know, know.
I swear it will get easier, remember that with every piece of 'ya,
And it's the only thing we take with us when we die.
Our hearts were never broken,
You won't ever be alone,
And if you hurt me,
That's okay baby, only words bleed.
[Bridge]
You can fit me
Inside the necklace you got when you were sixteen.
Next to your heartbeat where I should be.
Keep it deep within your soul.
And if you hurt me
Well that's okay baby, only words bleed.
[Outro]
When I'm away, I will remember how you kissed me
Under the lamppost back on Sixth street,
Hearing you whisper through the phone,",pop,$E$
"1,6,5,4",ed sheeran,photograph,verse and pre-chorus,0.614,0.379,4.0,-10.48,1.0,0.0476,0.607,0.0004639999999999,0.0986,0.201,107.989,258987.0,4.0,4,['pop'],"[Verse 1]
Loving can hurt, loving can hurt sometimes.
But it's the only thing that I know.
When it gets hard, you know it can get hard sometimes,
It is the only thing that makes us feel alive.
Our hearts are never broken,
You won't ever be alone, wait for me to come home.
[Verse 2]
Loving can heal, loving can mend your soul,
And it's the only thing that I know, know.
I swear it will get easier, remember that with every piece of 'ya,
And it's the only thing we take with us when we die.
Our hearts were never broken,
You won't ever be alone,
And if you hurt me,
That's okay baby, only words bleed.
[Bridge]
You can fit me
Inside the necklace you got when you were sixteen.
Next to your heartbeat where I should be.
Keep it deep within your soul.
And if you hurt me
Well that's okay baby, only words bleed.
[Outro]
When I'm away, I will remember how you kissed me
Under the lamppost back on Sixth street,
Hearing you whisper through the phone,",pop,$E$
"1,6,1,6",alan parsons project,eye in the sky,intro and verse,0.823,0.417,2.0,-12.643,1.0,0.032,0.562,0.00098,0.0765,0.522,111.928,276280.0,4.0,4,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']","[Verse:]
Don't think
Sorry's easily said
Don't try
Turning tables instead
You've taken lots of chances before
But I ain't gonna give anymore
Don't ask me
That's how it goes
Cause part of me knows what you're thinking
Don't say
Words you're gonna regret
Don't let
Fire rush to your head
I've heard the accusation before
And I ain't gonna take anymore
Believe me
The sun in your eyes
Made some of the lies worth believing
[Chorus 1]
[Verse 2:]
Don't leave
False illusions behind
Don't cry
I ain't changing my mind
So find another fool like before
Cause I ain't gonna live anymore believing
Some of the lies while all of the signs are deceiving
[Chorus 2:]
[Chorus 3 -Final]",album rock,$D$
"6,4,6,4",alan parsons project,eye in the sky,intro,0.823,0.417,2.0,-12.643,1.0,0.032,0.562,0.00098,0.0765,0.522,111.928,276280.0,4.0,4,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']","[Verse:]
Don't think
Sorry's easily said
Don't try
Turning tables instead
You've taken lots of chances before
But I ain't gonna give anymore
Don't ask me
That's how it goes
Cause part of me knows what you're thinking
Don't say
Words you're gonna regret
Don't let
Fire rush to your head
I've heard the accusation before
And I ain't gonna take anymore
Believe me
The sun in your eyes
Made some of the lies worth believing
[Chorus 1]
[Verse 2:]
Don't leave
False illusions behind
Don't cry
I ain't changing my mind
So find another fool like before
Cause I ain't gonna live anymore believing
Some of the lies while all of the signs are deceiving
[Chorus 2:]
[Chorus 3 -Final]",album rock,$D$
"6,4,6,4",alan parsons project,eye in the sky,chorus,0.823,0.417,2.0,-12.643,1.0,0.032,0.562,0.00098,0.0765,0.522,111.928,276280.0,4.0,4,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']","I am the eye in the sky
Looking at you
I can read your mind
I am the maker of rules
Dealing with fools
I can cheat you blind
And I don't need to see anymore
To know that
I can read your mind (Looking At You),",album rock,$D$
"1,2,6,4",katy perry,roar,verse,0.5539999999999999,0.772,7.0,-4.821000000000001,0.0,0.0418,0.00487,6.6e-06,0.354,0.455,179.984,223546.0,4.0,4,"['dance pop', 'pop', 'post-teen pop']","I used to bite my tongue and hold my breath
Scared to rock the boat and make a mess
So I sat quietly, agree politely
I guess that I forgot I had a choice
I let you push me past the breaking point
I stood for nothing, so I fell for everything
Like thunder, gonna shake your ground
Get ready 'cause I had enough
Now I'm floating like a butterfly
Stinging like a bee I earned my stripes
I went from zero, to my own hero
You held me down, but I got up (hey! )
Like thunder, gonna shake the ground
Get ready 'cause I've had enough
Roar, roar, roar, roar, roar!",dance pop,$G$
"1,2,6,4",katy perry,roar,pre-chorus,0.5539999999999999,0.772,7.0,-4.821000000000001,0.0,0.0418,0.00487,6.6e-06,0.354,0.455,179.984,223546.0,4.0,4,"['dance pop', 'pop', 'post-teen pop']","You held me down, but I got up
Already brushing off the dust
You hear my voice, your hear that sound
I see it all, I see it now
I got the eye of the tiger, a fighter
Dancing through the fire
'Cause I am a champion, and you're gonna hear me roar
Louder, louder than a lion
'Cause I am a champion, and you're gonna hear me roar!
Oh oh oh oh oh oh oh oh
You're gonna hear me roar!",dance pop,$G$
"1,2,6,4",katy perry,roar,chorus,0.5539999999999999,0.772,7.0,-4.821000000000001,0.0,0.0418,0.00487,6.6e-06,0.354,0.455,179.984,223546.0,4.0,4,"['dance pop', 'pop', 'post-teen pop']","You held me down, but I got up
Already brushing off the dust
You hear my voice, your hear that sound
I see it all, I see it now
I got the eye of the tiger, a fighter
Dancing through the fire
'Cause I am a champion, and you're gonna hear me roar
Louder, louder than a lion
'Cause I am a champion, and you're gonna hear me roar!
Oh oh oh oh oh oh oh oh
You're gonna hear me roar!",dance pop,$G$
"6,4,1,2,6",katy perry,roar,chorus,0.5539999999999999,0.772,7.0,-4.821000000000001,0.0,0.0418,0.00487,6.6e-06,0.354,0.455,179.984,223546.0,4.0,5,"['dance pop', 'pop', 'post-teen pop']","You held me down, but I got up
Already brushing off the dust
You hear my voice, your hear that sound
I see it all, I see it now
I got the eye of the tiger, a fighter
Dancing through the fire
'Cause I am a champion, and you're gonna hear me roar
Louder, louder than a lion
'Cause I am a champion, and you're gonna hear me roar!
Oh oh oh oh oh oh oh oh
You're gonna hear me roar!",dance pop,$G$
"1,2,16,4",toto,africa,chorus lead-out,0.6709999999999999,0.373,9.0,-18.064,1.0,0.0323,0.257,7.950000000000001e-05,0.0481,0.732,92.717,295893.0,4.0,4,"['album rock', 'mellow gold', 'rock', 'soft rock']","It's gonna take a lot to drag me away from you
There's nothing that a hundred men or more could ever do
I bless the rains down in Africa
Gonna take some time to do the things we never had
(I bless the rain)",album rock,$A$
"1,5,6,4,1",toto,africa,chorus,0.6709999999999999,0.373,9.0,-18.064,1.0,0.0323,0.257,7.950000000000001e-05,0.0481,0.732,92.717,295893.0,4.0,5,"['album rock', 'mellow gold', 'rock', 'soft rock']","It's gonna take a lot to drag me away from you
There's nothing that a hundred men or more could ever do
I bless the rains down in Africa
Gonna take some time to do the things we never had
(I bless the rain)",album rock,$A$
"4,1,5,6,4",toto,africa,chorus,0.6709999999999999,0.373,9.0,-18.064,1.0,0.0323,0.257,7.950000000000001e-05,0.0481,0.732,92.717,295893.0,4.0,5,"['album rock', 'mellow gold', 'rock', 'soft rock']","It's gonna take a lot to drag me away from you
There's nothing that a hundred men or more could ever do
I bless the rains down in Africa
Gonna take some time to do the things we never had
(I bless the rain)",album rock,$A$
"6,4,1,5,6",toto,africa,chorus,0.6709999999999999,0.373,9.0,-18.064,1.0,0.0323,0.257,7.950000000000001e-05,0.0481,0.732,92.717,295893.0,4.0,5,"['album rock', 'mellow gold', 'rock', 'soft rock']","It's gonna take a lot to drag me away from you
There's nothing that a hundred men or more could ever do
I bless the rains down in Africa
Gonna take some time to do the things we never had
(I bless the rain)",album rock,$A$
"5,6,4,1,5",toto,africa,chorus,0.6709999999999999,0.373,9.0,-18.064,1.0,0.0323,0.257,7.950000000000001e-05,0.0481,0.732,92.717,295893.0,4.0,5,"['album rock', 'mellow gold', 'rock', 'soft rock']","It's gonna take a lot to drag me away from you
There's nothing that a hundred men or more could ever do
I bless the rains down in Africa
Gonna take some time to do the things we never had
(I bless the rain)",album rock,$A$
"4,1,5,6",sia,elastic heart,intro,0.421,0.7909999999999999,9.0,-4.998,1.0,0.0496,0.0117,1.4800000000000002e-05,0.146,0.499,130.075,257200.0,4.0,4,"['australian dance', 'australian pop', 'dance pop', 'pop']","And another one bites the dust
But why can I not conquer love?
And I might've got to be with one
Why not fight this war without weapons?
And I want it and I wanted it bad
But there were so many red flags
Now another one bites the dust
And let's be clear, I trust no one
You did not break me
I've got an elastic heart
Yeah, I've got an elastic heart
And I will stay up through the night
Let's be clear, I won't close my eyes
And I know that I can survive
I walked through fire to save my life
And I want it, I want my life so bad
And I'm doing everything I can
Then another one bites the dust
It's hard to lose a chosen one
You did not break me (You did not break me, no, no)",australian dance,$A$
